site_id,date,target,y_hat
S1,2026-01-01,power_kwh,6770.604
S1,2026-01-02,power_kwh,6782.7983
S1,2026-01-03,power_kwh,6782.8267
S1,2026-01-04,power_kwh,6578.403
S1,2026-01-05,power_kwh,6774.5596
S1,2026-01-06,power_kwh,6775.8594
S1,2026-01-07,power_kwh,6770.841
S1,2026-01-08,power_kwh,6771.129
S1,2026-01-09,power_kwh,6774.0693
S1,2026-01-10,power_kwh,6774.0977
S1,2026-01-11,power_kwh,6578.4707
S1,2026-01-12,power_kwh,6776.31
S1,2026-01-13,power_kwh,6777.536
S1,2026-01-14,power_kwh,6772.5176
S2,2026-01-01,power_kwh,5557.3755
S2,2026-01-02,power_kwh,5556.784
S2,2026-01-03,power_kwh,5493.082
S2,2026-01-04,power_kwh,5222.662
S2,2026-01-05,power_kwh,5557.896
S2,2026-01-06,power_kwh,5566.8984
S2,2026-01-07,power_kwh,5554.017
S2,2026-01-08,power_kwh,5554.9795
S2,2026-01-09,power_kwh,5551.142
S2,2026-01-10,power_kwh,5488.513
S2,2026-01-11,power_kwh,5217.274
S2,2026-01-12,power_kwh,5555.1006
S2,2026-01-13,power_kwh,5562.4185
S2,2026-01-14,power_kwh,5552.9863
S3,2026-01-01,power_kwh,4220.2524
S3,2026-01-02,power_kwh,4207.427
S3,2026-01-03,power_kwh,4158.0596
S3,2026-01-04,power_kwh,3909.0698
S3,2026-01-05,power_kwh,4252.4277
S3,2026-01-06,power_kwh,4240.19
S3,2026-01-07,power_kwh,4236.297
S3,2026-01-08,power_kwh,4222.074
S3,2026-01-09,power_kwh,4225.6074
S3,2026-01-10,power_kwh,4165.5405
S3,2026-01-11,power_kwh,3899.6567
S3,2026-01-12,power_kwh,4253.554
S3,2026-01-13,power_kwh,4241.3164
S3,2026-01-14,power_kwh,4241.8228
S4,2026-01-01,power_kwh,4593.413
S4,2026-01-02,power_kwh,4594.3154
S4,2026-01-03,power_kwh,4559.4043
S4,2026-01-04,power_kwh,4412.664
S4,2026-01-05,power_kwh,4743.748
S4,2026-01-06,power_kwh,4643.018
S4,2026-01-07,power_kwh,4603.1626
S4,2026-01-08,power_kwh,4611.6255
S4,2026-01-09,power_kwh,4613.893
S4,2026-01-10,power_kwh,4578.982
S4,2026-01-11,power_kwh,4443.001
S4,2026-01-12,power_kwh,4774.2764
S4,2026-01-13,power_kwh,4641.835
S4,2026-01-14,power_kwh,4601.9795
