site_id,date,y_hat
S1,2026-01-01,6770.604
S1,2026-01-02,6782.7983
S1,2026-01-03,6782.8267
S1,2026-01-04,6578.403
S1,2026-01-05,6774.5596
S1,2026-01-06,6775.8594
S1,2026-01-07,6770.841
S1,2026-01-08,6771.129
S1,2026-01-09,6774.0693
S1,2026-01-10,6774.0977
S1,2026-01-11,6578.4707
S1,2026-01-12,6776.31
S1,2026-01-13,6777.536
S1,2026-01-14,6772.5176
S1,2026-01-15,6773.2163
S2,2026-01-01,5557.3755
S2,2026-01-02,5556.784
S2,2026-01-03,5493.082
S2,2026-01-04,5222.662
S2,2026-01-05,5557.896
S2,2026-01-06,5566.8984
S2,2026-01-07,5554.017
S2,2026-01-08,5554.9795
S2,2026-01-09,5551.142
S2,2026-01-10,5488.513
S2,2026-01-11,5217.274
S2,2026-01-12,5555.1006
S2,2026-01-13,5562.4185
S2,2026-01-14,5552.9863
S2,2026-01-15,5532.5776
S3,2026-01-01,4220.2524
S3,2026-01-02,4207.427
S3,2026-01-03,4158.0596
S3,2026-01-04,3909.0698
S3,2026-01-05,4252.4277
S3,2026-01-06,4240.19
S3,2026-01-07,4236.297
S3,2026-01-08,4222.074
S3,2026-01-09,4225.6074
S3,2026-01-10,4165.5405
S3,2026-01-11,3899.6567
S3,2026-01-12,4253.554
S3,2026-01-13,4241.3164
S3,2026-01-14,4241.8228
S3,2026-01-15,4227.749
S4,2026-01-01,4593.413
S4,2026-01-02,4594.3154
S4,2026-01-03,4559.4043
S4,2026-01-04,4412.664
S4,2026-01-05,4743.748
S4,2026-01-06,4643.018
S4,2026-01-07,4603.1626
S4,2026-01-08,4611.6255
S4,2026-01-09,4613.893
S4,2026-01-10,4578.982
S4,2026-01-11,4443.001
S4,2026-01-12,4774.2764
S4,2026-01-13,4641.835
S4,2026-01-14,4601.9795
S4,2026-01-15,4611.34
