site_id,date,target,y_hat
S1,2026-01-01,units_produced,1332.6954
S1,2026-01-02,units_produced,1348.3282
S1,2026-01-03,units_produced,1327.5214
S1,2026-01-04,units_produced,1229.2145
S1,2026-01-05,units_produced,1361.7505
S1,2026-01-06,units_produced,1361.0106
S1,2026-01-07,units_produced,1354.9359
S1,2026-01-08,units_produced,1351.1434
S1,2026-01-09,units_produced,1352.6241
S1,2026-01-10,units_produced,1325.8981
S1,2026-01-11,units_produced,1225.156
S1,2026-01-12,units_produced,1359.8309
S1,2026-01-13,units_produced,1359.2397
S1,2026-01-14,units_produced,1351.7524
S1,2026-01-01,power_kwh,6770.604
S1,2026-01-02,power_kwh,6782.7983
S1,2026-01-03,power_kwh,6782.8267
S1,2026-01-04,power_kwh,6578.403
S1,2026-01-05,power_kwh,6774.5596
S1,2026-01-06,power_kwh,6775.8594
S1,2026-01-07,power_kwh,6770.841
S1,2026-01-08,power_kwh,6771.129
S1,2026-01-09,power_kwh,6774.0693
S1,2026-01-10,power_kwh,6774.0977
S1,2026-01-11,power_kwh,6578.4707
S1,2026-01-12,power_kwh,6776.31
S1,2026-01-13,power_kwh,6777.536
S1,2026-01-14,power_kwh,6772.5176
S2,2026-01-01,units_produced,1579.7947
S2,2026-01-02,units_produced,1579.9502
S2,2026-01-03,units_produced,1560.0825
S2,2026-01-04,units_produced,1465.5293
S2,2026-01-05,units_produced,1588.6074
S2,2026-01-06,units_produced,1589.7195
S2,2026-01-07,units_produced,1581.0203
S2,2026-01-08,units_produced,1580.9922
S2,2026-01-09,units_produced,1580.9078
S2,2026-01-10,units_produced,1560.4269
S2,2026-01-11,units_produced,1464.9415
S2,2026-01-12,units_produced,1589.5872
S2,2026-01-13,units_produced,1591.1821
S2,2026-01-14,units_produced,1581.9738
S2,2026-01-01,power_kwh,5557.3755
S2,2026-01-02,power_kwh,5556.784
S2,2026-01-03,power_kwh,5493.082
S2,2026-01-04,power_kwh,5222.662
S2,2026-01-05,power_kwh,5557.896
S2,2026-01-06,power_kwh,5566.8984
S2,2026-01-07,power_kwh,5554.017
S2,2026-01-08,power_kwh,5554.9795
S2,2026-01-09,power_kwh,5551.142
S2,2026-01-10,power_kwh,5488.513
S2,2026-01-11,power_kwh,5217.274
S2,2026-01-12,power_kwh,5555.1006
S2,2026-01-13,power_kwh,5562.4185
S2,2026-01-14,power_kwh,5552.9863
S3,2026-01-01,units_produced,1124.7399
S3,2026-01-02,units_produced,1125.004
S3,2026-01-03,units_produced,1108.5771
S3,2026-01-04,units_produced,1060.0769
S3,2026-01-05,units_produced,1140.7286
S3,2026-01-06,units_produced,1138.3884
S3,2026-01-07,units_produced,1129.0513
S3,2026-01-08,units_produced,1125.2217
S3,2026-01-09,units_produced,1125.6335
S3,2026-01-10,units_produced,1108.9824
S3,2026-01-11,units_produced,1060.5477
S3,2026-01-12,units_produced,1141.5438
S3,2026-01-13,units_produced,1139.0277
S3,2026-01-14,units_produced,1131.7972
S3,2026-01-01,power_kwh,4220.2524
S3,2026-01-02,power_kwh,4207.427
S3,2026-01-03,power_kwh,4158.0596
S3,2026-01-04,power_kwh,3909.0698
S3,2026-01-05,power_kwh,4252.4277
S3,2026-01-06,power_kwh,4240.19
S3,2026-01-07,power_kwh,4236.297
S3,2026-01-08,power_kwh,4222.074
S3,2026-01-09,power_kwh,4225.6074
S3,2026-01-10,power_kwh,4165.5405
S3,2026-01-11,power_kwh,3899.6567
S3,2026-01-12,power_kwh,4253.554
S3,2026-01-13,power_kwh,4241.3164
S3,2026-01-14,power_kwh,4241.8228
S4,2026-01-01,units_produced,1345.144
S4,2026-01-02,units_produced,1347.6731
S4,2026-01-03,units_produced,1312.9355
S4,2026-01-04,units_produced,1245.2954
S4,2026-01-05,units_produced,1388.0739
S4,2026-01-06,units_produced,1369.3329
S4,2026-01-07,units_produced,1346.4624
S4,2026-01-08,units_produced,1354.5139
S4,2026-01-09,units_produced,1353.4146
S4,2026-01-10,units_produced,1318.6768
S4,2026-01-11,units_produced,1254.8674
S4,2026-01-12,units_produced,1397.9437
S4,2026-01-13,units_produced,1371.4037
S4,2026-01-14,units_produced,1347.8064
S4,2026-01-01,power_kwh,4593.413
S4,2026-01-02,power_kwh,4594.3154
S4,2026-01-03,power_kwh,4559.4043
S4,2026-01-04,power_kwh,4412.664
S4,2026-01-05,power_kwh,4743.748
S4,2026-01-06,power_kwh,4643.018
S4,2026-01-07,power_kwh,4603.1626
S4,2026-01-08,power_kwh,4611.6255
S4,2026-01-09,power_kwh,4613.893
S4,2026-01-10,power_kwh,4578.982
S4,2026-01-11,power_kwh,4443.001
S4,2026-01-12,power_kwh,4774.2764
S4,2026-01-13,power_kwh,4641.835
S4,2026-01-14,power_kwh,4601.9795
